"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2016|06",116272,27081,253665,90684,934469,108705,60290,17033,15481,345170,236199,23121,25848,197123,222565,80492,115314,202073,60902,27298,58436,175801,169109,103733,72308,182552,32685,52815,59014,20983,125931,47858,328914,328229,29495,285682,141432,106802,277095,28944,93853,24562,302872,463053,45086,23133,118309,155671,127011,115676,17874,7274703
"2016|07",119049,27913,259717,93539,956701,109379,61756,17134,15986,355082,241858,24531,26318,204343,233026,82092,116622,205837,62356,27590,59998,179167,172444,105583,75525,187788,33709,54828,60003,20970,127068,49217,333216,338693,30120,293174,142944,108729,282760,28945,96698,25281,312777,474212,45684,23198,120009,158836,131392,118572,17891,7450260
"2016|08",119102,27963,258712,94818,964891,109267,61778,16973,15832,359805,241570,24854,27175,205545,235814,82293,115866,203308,63195,27885,60379,179457,172451,106690,78024,187140,34163,55015,60825,21018,127358,49225,330279,346318,30052,298790,143013,108868,281931,28839,97524,25419,317834,477963,45865,23173,120638,159761,131093,119058,17299,7492108
"2016|09",119453,28122,253643,96948,953973,109441,60955,17431,15689,362291,237954,24624,27489,200456,236491,81753,117348,199633,63546,27283,59014,176962,170194,106892,80105,187607,35528,54968,61380,20805,124931,49606,322068,359928,29927,298980,143369,106847,275158,28199,98990,25246,322462,478620,45902,23209,118356,158019,130503,117939,17256,7463493
"2016|10",123952,29092,261297,103033,984744,114054,63390,18558,16357,382069,245823,25261,28814,209595,246353,85282,123984,207235,67265,27681,59511,186653,177722,112951,84086,196220,37581,57970,64103,21747,127126,51884,337393,366316,31455,314660,148906,110504,285794,29817,104701,26822,326113,497678,48312,24398,122570,165095,136495,123724,17999,7760145
"2016|11",118074,27418,244822,96059,933756,106970,60969,17913,15785,363131,232987,23740,27485,202916,233932,79395,118558,198460,64166,26115,56374,177230,170435,107863,80786,186460,35531,54940,60556,20984,120554,49306,322237,318310,30730,300497,140045,104698,271440,28265,100308,25990,282563,466387,46166,23218,116359,156860,129757,119656,16959,7314115
"2016|12",119699,28452,244568,96586,946533,108137,62472,17908,15877,367462,236013,24068,28177,209163,238782,79133,121088,199271,65637,25834,57378,179388,175567,110469,83440,189658,36325,54801,61804,21831,120622,50177,330263,291181,31570,307211,139713,105588,276515,28784,101802,26982,258847,472293,47242,23391,118374,158739,129817,122945,17064,7364641
"2017|01",120353,28092,241771,94123,936961,107727,62458,17971,15857,365434,234610,23711,27918,208233,237527,78124,121743,195813,65176,25223,57859,177764,175914,110354,83802,187281,37087,53447,61126,21960,119984,50348,332300,254661,30944,306732,138066,104438,275912,28638,102295,27575,225111,472069,46847,22834,117097,157873,127147,123441,16838,7256569
"2017|02",111861,25714,221392,85286,853706,98946,56821,16285,13988,338103,215569,21332,25620,189714,218734,71042,113122,178899,60021,22441,53248,163575,160904,102025,77774,170211,34563,48872,56322,20665,110712,45846,305220,203410,28343,282157,127794,95879,254559,26194,95121,25827,180028,438391,42905,21129,107017,145177,115842,113359,15541,6607206
"2017|03",127070,29383,249573,97952,963317,112621,64350,18501,15694,383541,244991,24056,29009,213453,251746,80799,130085,204566,67529,24845,59694,186592,183332,117315,89209,194082,39341,55740,64980,24306,124538,51672,347258,202512,32976,320591,146284,109261,288563,29313,109287,29888,179277,503774,49648,23941,121116,165851,129858,130102,18035,7461417
"2017|04",124661,28694,242185,95758,932264,109770,63132,18395,15617,375709,239310,23105,28275,207934,247044,79355,127751,200475,65910,23821,56694,183480,179339,114759,86831,191156,38325,54465,63450,24378,118723,50333,340330,181150,32316,314084,142160,108127,280529,27865,106535,29182,163778,493957,48966,23571,118730,162549,126220,127631,17827,7256605
"2017|05",128979,27930,245909,96236,943083,110916,64799,18718,15724,383775,245854,23595,28790,213435,251233,80885,130631,205470,67172,23988,57981,184841,182811,116275,88413,193137,39869,55412,64769,25096,121490,51575,347466,183362,32800,321057,141001,111179,287736,28966,107592,29544,167844,501501,48957,24135,122613,165570,129062,131387,18469,7389032
"2017|06",123206,25766,233638,90834,896312,103681,62410,17854,14856,365074,233821,22245,27533,204655,238938,76082,124071,194689,64649,22661,55510,175505,174326,109430,83524,181093,38338,52801,61989,23933,116956,48977,332324,172280,31322,306191,131379,106412,276972,28349,100410,28307,161307,474995,44936,22821,117863,158246,122723,124915,17326,7024435
"2017|07",126860,25953,238986,91993,913278,106316,63678,18666,15355,374542,240842,22655,29040,209154,245042,77558,126440,198796,65595,22989,57262,178093,179886,110901,85904,184826,39971,54581,63014,24417,118466,50409,339386,175363,32218,314756,134114,108791,283433,29291,101938,29523,167854,489896,45738,22999,119046,161654,127221,126708,18033,7189430
"2017|08",128859,25882,236377,90893,911348,107797,63661,18647,15282,378644,241647,23063,29625,207546,247382,77475,125028,198243,65940,22664,57708,179278,182571,110771,86702,183510,41891,55035,63049,24405,117726,49964,341344,176898,32196,318852,135809,109602,283656,29799,103258,30183,172584,500558,45582,22628,118488,162514,128824,128056,18328,7227772
"2017|09",129429,25969,231180,89882,894134,107251,62242,17957,14265,378347,240214,22614,29585,203199,247585,77917,124977,195995,65850,21505,55909,178396,180386,109809,85152,181322,41927,56099,63705,24301,114701,49615,335052,179391,31682,315341,135499,107792,278905,29623,102191,30438,176481,503322,45789,22348,114858,162047,129956,126841,18114,7167089
"2017|10",135573,26510,237679,93685,922300,111779,64392,18675,14680,399082,253572,23510,31066,212693,258923,81926,132769,203576,68819,21917,56132,187689,189545,115331,88430,187482,43846,57720,66308,25783,118340,52085,347940,185314,33222,330000,139246,112220,289409,31753,107777,32603,185667,526950,47635,23278,118653,170003,137064,132269,18955,7471775
"2017|11",129712,24680,222350,87789,873782,104696,61756,17776,13915,377829,246077,22354,29542,204964,244712,77537,127758,193986,64606,20885,53824,178115,180972,109954,83486,177304,42049,54912,61762,24684,113309,49404,329719,175212,32014,315578,131057,106368,277088,30737,102778,30603,178951,495443,43985,22314,113226,161237,132986,126961,17906,7100644
"2017|12",131778,24634,223101,87649,892154,104987,62932,18047,13999,380496,253817,23157,29743,210635,247599,79193,130766,196987,65817,21460,54524,180616,184806,111053,83440,176844,42613,55498,63137,25274,114738,49876,332352,177103,32803,322330,132265,107985,282062,30957,102924,30805,184194,500447,43370,22692,115685,163661,137216,130042,18385,7208648
"2018|01",130087,24705,220533,87120,890372,104889,62161,17462,14037,376208,257089,23525,30217,211872,244778,79701,130086,194827,65710,21696,54403,179629,185449,110025,82082,171512,42149,54813,63696,25181,114287,48976,328725,174620,33275,321968,131213,107554,279150,31121,102078,30144,184188,497873,41673,22794,115925,162409,136112,129432,18481,7168012
"2018|02",119070,22881,200809,79978,806946,95748,57816,15991,12602,346878,241170,22026,28556,194203,223191,73311,119336,180503,60276,20112,49743,165307,169391,101570,74957,153655,39364,50143,57705,23101,105109,44482,297769,157211,31039,296701,119972,99006,254758,29688,93559,27209,172097,459214,37434,21449,107225,148086,125473,118663,17068,6569551
"2018|03",135448,26142,225394,90369,903062,108711,65576,18486,14080,396003,280100,25094,32158,219470,253605,83634,136806,208262,68504,23498,56865,188699,190851,116739,84868,171570,45091,57289,65587,26735,118169,49982,335299,178370,34907,335467,135065,112137,287083,33561,108821,30700,198967,526528,42747,24642,122419,168109,143213,135384,19308,7459574
"2018|04",133574,25687,218278,87245,871741,104846,64771,17793,13522,387351,275460,24207,31653,213806,244464,81828,135543,206401,66338,23433,54917,185414,184950,113796,82042,166754,43629,55544,64046,26146,113528,48344,326319,174408,34043,327214,129902,108621,279172,32816,108717,30643,196537,515379,42057,24282,118383,165227,139603,132081,18592,7271047
"2018|05",136433,26274,220424,86169,881921,106203,65896,18005,13822,392996,281760,24690,32872,220354,247189,82894,137170,212711,67858,24015,56986,186981,187672,115154,83080,168187,44447,56380,64854,26532,115575,48801,332675,178800,35094,332825,130394,110165,288056,33710,112617,31315,200234,522496,42401,24642,121472,168788,143836,135417,18849,7398091
"2018|06",129319,25025,207127,79808,837993,100856,63627,17404,13325,373343,266129,23435,31586,212218,234538,78500,128778,205385,64961,22921,55025,178024,179744,107676,78803,157732,42635,52767,62255,25585,110811,46492,316971,172268,33513,315391,122705,103644,274229,32203,107866,29737,190524,496344,39196,23475,117054,161221,138473,129380,17280,7035301
"2018|07",133459,25160,211941,79883,856880,103136,65613,17871,13390,383342,271906,24155,32909,218472,238238,81505,130743,211914,66951,23985,57559,180864,183368,109653,80502,158957,43914,53281,64181,26277,112503,48289,323173,179877,34444,323825,124480,105774,280221,33239,110835,30244,195724,512740,38930,23680,120621,164013,143006,133770,18026,7207423
"2018|08",135572,25090,213421,79241,860716,103253,65764,18143,13206,383889,272089,23984,33734,217344,238421,83585,130920,216043,68283,24415,58399,179383,183783,109653,79602,156137,43926,51122,64544,26388,111647,49072,324690,183777,33973,324753,124556,105238,280319,33290,112799,30660,196975,518789,38861,23919,120866,165311,145048,134287,17944,7236824
"2018|09",136625,24982,210934,80330,849772,102500,63838,18069,13326,383223,270797,24201,33646,213977,236243,83679,130588,216742,68363,24835,57483,176824,179622,108587,78263,154173,42891,49441,64650,25507,108598,48575,317551,189133,33492,320518,124530,103030,274368,32814,112620,30637,197619,523614,38706,24093,119123,162258,145010,130385,17169,7177954
"2018|10",142477,26449,217848,83788,876080,106541,65975,18286,14052,398624,280768,25138,35529,223477,244451,87208,136147,227615,71131,26049,58735,184580,185242,112820,80856,159726,44191,51207,67773,26812,110778,51415,329529,199886,34891,334591,128690,105851,284863,33843,118046,31924,205535,545979,39953,25725,123894,167890,152735,134923,17480,7457996
"2018|11",135981,25158,205540,78466,829292,101495,62612,16882,13399,378831,266415,24262,33808,217678,230388,81799,129985,216309,66229,25551,56524,173642,175794,106080,76453,151285,41661,48128,63688,25633,103398,48924,314234,192895,32593,320718,122011,100758,272005,31419,111911,30036,194672,508823,37965,24832,117721,159181,148121,129148,16217,7076550
"2018|12",138142,25765,207010,79017,843802,103064,64099,16624,14012,381586,270007,24654,34958,225982,231398,82014,131009,219479,66917,26782,58081,174957,178538,106484,77171,153391,42057,48635,65192,25876,103025,49490,317811,198728,33071,328561,124071,102865,275007,30709,111945,30493,197006,513879,38025,25043,120261,161094,152386,131786,16126,7178085
"2019|01",136427,26222,205635,77144,840519,102903,64806,15973,14115,377826,268357,24933,35013,229810,227328,80474,129521,219732,66294,27291,58185,173172,177457,104763,76782,150285,42015,48588,65567,25439,102188,49068,315679,200486,32679,328000,123453,102009,272490,30282,110907,30418,194516,510093,37743,25168,120354,160683,152819,130940,16307,7138858
