"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","National"
"2018|12",265,93,688,238,2095,321,161,14,33,1437,429,102,116,454,660,320,300,585,183,102,144,433,456,479,183,549,142,185,296,64,227,108,686,393,63,946,395,264,803,79,227,78,457,1245,147,64,217,437,373,377,87,19200
"2019|01",268,120,738,237,2289,351,155,29,35,1610,526,109,108,526,774,281,297,590,195,104,173,491,496,502,211,568,190,185,255,68,243,132,670,418,83,987,334,327,854,102,365,96,513,1476,175,51,255,413,471,393,103,20942
"2019|02",318,99,714,230,2322,321,130,22,35,1178,563,111,100,451,759,282,321,547,233,69,143,397,453,484,213,488,196,161,245,47,219,120,720,475,79,979,370,240,746,77,350,98,528,1519,152,49,207,379,398,336,89,19762
"2019|03",373,128,862,284,2487,319,219,21,31,1368,602,88,125,542,842,368,357,513,250,134,155,509,561,574,219,560,233,184,280,109,259,141,792,519,94,1119,392,326,898,89,356,119,673,1656,196,72,284,508,493,403,86,22772
"2019|04",316,151,836,297,2340,346,156,34,32,1273,561,105,99,594,817,305,436,525,228,105,155,396,481,544,172,678,234,187,272,66,208,129,712,508,73,1074,376,252,811,91,333,107,633,1590,184,77,180,471,433,376,106,21465
"2019|05",317,163,904,269,2387,334,172,25,41,1349,527,102,130,672,819,358,399,593,220,137,169,477,490,540,157,578,231,173,301,54,222,133,705,454,96,1054,360,265,816,125,368,79,659,1598,187,57,241,481,445,439,90,21962
"2019|06",316,113,731,228,2324,342,174,24,20,1240,526,74,97,545,733,263,330,488,239,115,165,417,431,488,165,509,129,181,265,80,196,114,721,461,86,1003,366,298,752,91,254,100,572,1401,166,49,221,448,345,345,73,19814
"2019|07",324,166,805,239,2469,322,168,30,19,1218,544,68,79,623,739,296,353,512,220,106,179,439,460,494,216,569,155,180,238,91,197,138,743,482,66,1035,397,252,801,88,256,121,588,1521,162,83,218,451,399,403,81,20803
"2019|08",410,132,980,290,2725,384,182,41,24,1342,622,146,140,689,823,357,369,605,259,105,142,476,465,547,243,679,164,189,318,76,202,115,647,467,83,1192,431,285,842,88,389,116,678,1614,171,58,224,415,463,402,96,22902
"2019|09",398,116,753,336,2576,324,157,24,12,1323,616,106,114,666,792,363,438,642,298,87,158,512,511,555,234,697,162,226,282,67,240,111,739,486,98,1157,443,331,856,93,403,111,606,1564,161,67,287,457,490,434,77,22756
"2019|10",367,126,738,274,2534,276,148,27,29,1360,475,123,81,660,706,293,352,580,291,99,185,512,472,484,154,653,146,196,237,76,227,73,646,462,94,1130,367,287,745,84,369,125,594,1388,180,48,253,490,444,418,88,21166
"2019|11",294,155,699,215,2217,258,136,24,25,1025,455,116,77,553,679,263,315,523,207,100,187,438,474,445,144,561,158,187,242,65,162,82,604,426,81,943,351,224,689,107,343,93,512,1255,135,57,212,403,392,347,104,18759
"2019|12",262,133,701,249,1968,256,142,19,12,940,446,76,80,559,664,218,266,415,199,89,131,431,336,423,112,545,166,154,271,79,167,100,602,369,84,931,291,230,588,70,267,84,495,1149,112,38,232,361,369,361,77,17319
"2020|01",313,115,768,278,2086,253,149,31,20,1154,468,119,105,655,851,236,297,523,237,97,170,516,439,463,159,608,192,183,275,71,181,109,656,458,72,950,360,233,730,91,307,101,599,1372,136,59,216,379,466,355,89,19750
"2020|02",302,133,720,270,2104,326,122,33,12,1196,474,71,118,671,849,241,261,590,259,92,171,447,457,450,175,591,163,194,264,69,168,122,667,489,97,1110,389,253,773,84,306,115,543,1317,162,49,267,380,442,376,81,20015
"2020|03",218,89,616,251,1947,229,81,20,8,1014,371,70,103,411,592,170,236,406,173,78,102,307,307,371,122,507,147,150,200,59,129,97,508,410,58,856,262,205,453,51,255,81,414,1136,143,39,154,339,317,272,53,15587
