"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2018|06",166595,77211,389636,121680,1477461,137806,122761,21080,20930,709593,408195,48533,49644,472505,550386,176693,235162,255553,130120,44497,111886,309756,357642,278407,144441,349511,112617,108140,125642,40483,170581,73925,481623,270355,43486,455880,252619,219521,494379,58506,124736,45459,254219,864495,77913,37931,141435,333051,188160,232886,31779,12407505
"2018|07",172144,79729,398454,123554,1524545,141547,127486,21480,21174,727482,417382,49753,52289,486039,561544,183199,240974,265887,134523,47366,116252,316569,368951,283864,147799,360355,116254,108422,131445,41048,173411,75640,492432,280516,44732,470831,258672,224890,505702,60200,128817,46289,260682,895669,78273,38773,146760,341779,194144,241033,32737,12759492
"2018|08",174938,81327,396222,123622,1532886,140227,128791,21585,20958,730340,416816,49662,53329,490601,561957,186339,243739,271209,135764,48889,117112,316366,370810,283997,147073,369584,117482,106134,133559,40746,173185,76023,495828,284710,45224,473327,258961,225063,506619,60489,130667,46631,264380,906559,78680,38869,148368,345129,198183,241776,32770,12843505
"2018|09",174114,81532,385665,123321,1508606,138049,126442,21383,20906,721590,410893,49703,52612,484273,547706,185271,240556,272350,134437,49052,114170,313219,363105,276601,142991,369736,116298,102708,132793,39005,167851,74650,485984,287993,44464,465205,254036,218215,493218,59292,129834,46001,261738,901886,76965,38443,146445,338671,197869,233908,32036,12653791
"2018|10",180843,85028,398663,128840,1564949,143363,131305,21939,22117,745271,424398,51543,55904,503699,560646,192131,246741,285772,139082,50971,117290,324299,374391,283357,146262,384076,119800,106107,137596,40512,171041,77400,503347,300898,45643,486781,261481,222252,510234,61538,136545,47784,271888,933104,79195,39840,151694,350517,205120,239793,32622,13095612
"2018|11",173686,80927,377742,120464,1486782,135025,125002,20807,21252,708949,403708,49645,53248,483159,526904,181604,233055,273159,131909,49447,112073,305911,356170,266300,138041,361275,113478,100930,127923,38793,159681,73495,480177,286221,43039,467150,246662,210478,489067,57968,129849,45770,259709,874376,74139,37984,144267,333879,196124,229978,30515,12427896
"2018|12",177428,82413,381968,120820,1514461,135545,128343,20313,21799,721547,408791,51082,54679,496508,530576,182621,234389,277519,132755,51164,114007,308985,362000,269332,139513,363725,114315,102838,130765,39539,159704,74282,488763,292420,43967,478324,248431,214100,494911,57999,130452,46733,263545,876746,74225,38244,147540,339800,199179,234594,30852,12604551
"2019|01",176756,82094,380833,119183,1512544,135485,128459,19401,22019,729995,405267,51518,54722,497940,524201,182869,233358,277233,131060,52379,113849,307893,360341,266850,138573,363195,112971,103569,131739,38974,159097,73165,487062,292716,43848,478488,245768,212783,492043,58802,129217,46761,261101,869847,73341,37686,147600,337474,199160,234728,30950,12566907
"2019|02",159716,74478,347640,107875,1374237,124423,116561,17008,19931,667482,367429,47581,49694,455970,472242,165245,212250,251163,117445,48303,103651,279120,327036,241865,125944,332626,102857,93954,119886,35436,143588,65429,442344,270162,39587,436584,223686,193624,447480,54659,119053,42367,236687,795118,67281,33958,135568,305384,183392,213159,28186,11436344
"2019|03",179180,83471,391654,122746,1541412,141192,130585,18595,22506,749916,409664,53585,55596,514566,525635,185865,240500,279334,130359,54879,115947,313287,368861,271332,140169,378556,115458,105999,135856,40248,159309,73576,495691,314124,44414,490104,250510,217119,500144,62742,135661,48560,268052,901337,75707,38470,152268,343075,208898,238415,31666,12866795
"2019|04",173471,81153,380557,119157,1494956,137425,127393,17747,21849,729528,396232,51799,53589,498998,505007,179838,234262,270854,124870,54506,110070,305446,357651,261176,132146,367980,112831,101813,131807,38953,150125,71603,480046,306747,42974,476906,242666,210568,483878,61733,131447,47841,263144,873070,74222,37893,147666,332818,204719,231084,30902,12475116
"2019|05",176813,83409,390548,121349,1519910,139378,130185,17953,22187,744226,403756,52595,54560,511247,510073,181291,239663,278384,125443,57215,112679,306547,363612,264543,131926,370823,116409,103339,133967,39534,150670,72380,489178,312544,44199,487740,247074,213537,490935,64046,135138,48456,270891,885219,75775,38635,152176,338902,208126,235847,31218,12696250
"2019|06",168714,80435,374757,115529,1457993,133819,125564,17010,20948,711397,384804,50054,51882,494907,483382,172396,229751,266307,118667,56347,109332,290458,347064,251037,124897,350239,111021,97768,127934,37366,142905,68986,469034,298887,42262,467812,237510,203025,467564,62112,128525,45418,262678,845095,71910,36374,146486,324640,197363,225676,28769,12134810
"2019|07",173637,83813,388464,118226,1505687,137302,129516,17500,21250,732485,394223,51336,53178,523139,492658,176459,237428,272209,120828,59315,112563,295728,356753,253974,128463,359607,113559,99809,131085,37768,144500,71137,481336,309109,42344,485923,246587,207613,474963,64739,130534,47386,270874,872223,73395,37761,150839,332858,202507,231976,29695,12486261
"2019|08",173971,85504,392981,119845,1515781,138371,129780,17420,20862,735852,393241,51514,53354,533462,491801,178641,240573,272819,119063,60674,113017,296192,357592,253647,127969,368579,112892,101205,132461,37948,141857,71058,481801,312183,42093,491862,249533,206688,475024,66011,130700,48626,276599,878833,74153,37633,151608,332425,203705,231816,29909,12561128
"2019|09",171158,84989,386237,120232,1497255,136532,126667,16762,20162,722092,384940,50986,52454,529707,479337,176481,237393,270009,116859,59340,110846,291327,350310,247952,125053,370331,109810,100773,132182,36826,135736,69004,471280,313529,42387,487237,245738,201873,463416,65367,131363,49468,273803,871754,73519,36338,149437,324824,204276,226784,29013,12381148
"2019|10",177838,88930,398536,125883,1554448,139388,130469,17130,20719,752245,395785,52465,53385,552237,489548,182615,247298,281365,121360,61468,114381,301423,360748,256853,129007,387257,111684,105911,137497,38075,137708,71579,490519,323674,44233,509077,254034,208135,479731,67055,138312,52636,283179,900406,75749,37553,156058,334523,214084,234686,29391,12828270
"2019|11",169721,85437,380787,116533,1483292,130407,123727,15996,19972,714045,376705,50061,49775,532431,458570,170913,236380,270948,115027,59695,110907,285471,341786,243600,121334,363701,104073,100972,129939,36649,129305,67659,468922,304576,42318,485389,241550,197720,458238,64117,130255,50229,268255,844400,71636,35167,150225,316960,205264,222796,27593,12181428
"2019|12",172549,87776,387908,115916,1510925,131264,124959,15635,19787,717775,379973,51040,49242,548799,460773,168783,240150,276433,115995,61579,113406,288578,346375,247533,122095,365892,105250,102151,131175,37131,128421,67380,476221,306767,43725,496961,243243,200855,464736,65236,129261,50906,271805,848715,72305,34837,154085,320519,209326,225347,28158,12335656
"2020|01",172369,87572,387455,115530,1509103,129602,124914,15191,19574,713249,376210,50805,49101,553372,459091,165985,238276,274295,115434,62044,114326,286024,343857,246141,120907,364570,104605,103469,131680,37242,128279,66713,475279,302555,43916,494091,241105,196884,461163,65145,127732,50191,270000,845856,71114,34256,154998,315540,210326,224004,28091,12279231
"2020|02",162271,82790,364749,108977,1417679,122097,117005,14312,18074,673910,351147,48061,45890,527914,434286,154399,222334,259246,108232,58439,108777,269526,323431,230764,113644,347713,98214,98769,125359,35502,120943,63281,449893,284861,41408,466572,226915,183049,434863,61385,120837,47044,256179,797811,66981,32183,147720,293837,203068,211053,26046,11579440
"2020|03",177102,90870,393576,122657,1541144,132171,124754,15587,19150,729378,377509,52134,49313,577945,473296,165784,239297,283721,118694,64551,118078,294720,348774,251361,123241,388714,107026,108207,138123,38901,128585,68942,493807,315561,45907,512868,246793,197268,470059,66592,132531,51715,280922,869422,73544,34427,160642,314489,226897,226693,28230,12611672
"2020|04",171659,88050,378258,123018,1517100,128450,121653,14860,18005,707577,364959,51072,47463,564778,459486,158323,231619,279941,114991,62709,113651,288033,337514,243637,118310,382225,102380,105161,134427,37766,121117,66639,481869,307385,45156,502389,240186,190073,453792,65488,130614,50597,272722,847910,73346,33591,154971,302767,223657,216884,27077,12275305
"2020|05",175308,89644,387323,124058,1573370,130761,126986,14980,18375,722978,370692,52454,48096,580011,466597,156466,234769,287725,116379,63376,117726,294503,343710,247918,119104,386264,103953,107053,135709,38255,123803,67442,496305,315241,45927,516666,245460,192590,461423,67441,131150,51438,274214,864998,76077,34200,159588,305929,226855,219762,26496,12537548
"2020|06",166946,85927,372769,117763,1521189,125022,122837,14391,17932,693035,351373,50001,45378,560285,439811,146871,222932,272499,109649,61040,115290,280143,326008,236726,112631,363588,99892,101962,129775,35991,117741,64224,477305,299656,43143,494349,234827,182930,441016,64914,124100,49136,258145,827508,71885,32161,153372,290821,211685,209154,24572,11972300
"2020|07",170246,87531,383328,122187,1559960,128159,126388,14801,18511,712205,356232,50412,45841,595684,449387,148366,226190,275350,110801,64240,120783,284153,332063,240698,115062,371040,101969,105672,133281,36588,119324,64912,488055,304731,43703,503837,241115,185794,450108,66460,126458,49864,262213,852425,72679,32655,157805,296624,213900,214642,24754,12259186
"2020|08",170162,86660,388336,124463,1552250,128154,125646,14231,18368,717322,352163,49679,45782,605699,453197,145760,224481,270835,109332,65911,124002,283315,330878,238590,113322,375433,102753,106700,132659,36586,119162,64478,485414,304933,44349,498625,242072,185780,448353,66330,125569,49883,262890,861407,72747,32494,158759,296130,215716,215474,25122,12268356
"2020|09",166140,84833,386083,124484,1501617,127022,120660,13757,17405,700660,341396,47762,43683,600442,443916,140310,216890,259886,105167,64834,122296,275938,320186,232729,109975,371786,100008,105434,129384,35494,115970,62884,469054,303391,43945,483431,237497,180274,432847,64095,121643,49786,259067,855803,70655,31806,154187,288128,212506,210649,24365,11982160
"2020|10",171623,87300,403018,131535,1543475,130654,124156,14386,17722,722508,349928,49072,45217,624914,457335,142491,222874,266627,108262,67184,121872,285291,327844,236577,111950,385903,103513,109772,133287,36686,117347,64642,480965,314050,45941,491868,246142,183208,441529,65439,124237,51216,268703,892840,72097,33078,158673,295320,219797,219459,24591,12344118
"2020|11",164349,82977,389847,126553,1472580,122852,118579,13529,16672,691120,333018,46949,43985,604388,432815,133970,212451,254453,103510,63828,115678,272898,310408,221938,104918,365440,98581,104271,125775,34887,109873,60799,461282,298891,43708,467607,236038,172862,419093,61845,117065,47594,255777,851031,68094,31731,150941,280335,208472,209554,23291,11759102
"2020|12",166754,85156,403738,129417,1503338,124045,120812,13559,16621,706285,337304,47932,45332,625499,434527,134996,216318,258235,104709,64296,117367,279195,314220,223383,105512,369007,99957,107063,127329,35696,108675,61306,473248,304620,44357,474352,239873,174424,424814,62721,117363,48347,259824,866752,68100,32311,154759,286291,212252,213090,23435,11968516
"2021|01",165423,86144,406008,129806,1493008,124410,119355,13529,16212,706493,335450,47308,45918,627466,428566,133049,216095,255818,103210,63526,115822,279001,309929,219773,103904,368294,100124,106659,127265,35412,107381,60251,472316,303489,44345,469815,238229,172774,420243,61944,116496,48090,260915,870035,66611,32374,155007,284617,211348,212286,23448,11914991
"2021|02",150681,78701,365507,118624,1346456,114062,107585,12160,14466,643850,303656,42790,41810,570547,387917,111530,196577,231721,92411,56874,104129,251358,278097,197852,92746,338108,89640,97609,116494,32187,97464,53561,427541,276460,40569,428570,215300,155417,381393,55460,106788,44378,239684,795644,60800,29369,140489,258650,193294,192460,21517,10800953
"2021|03",168846,88303,404074,133708,1503923,128747,118788,13923,16148,723382,339841,47217,47005,642613,433341,124986,219731,258103,103583,62453,115638,279787,307463,221052,102361,386517,99994,110526,131029,35906,107814,59652,476947,316968,46533,481169,239985,172247,427309,60740,121168,50798,272450,902397,68571,33285,157390,289129,218745,215348,25105,12112738
