"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2012|06",50831,5091,77454,36486,204380,58763,26102,6313,61,131262,71233,2125,17903,86441,79815,58938,58324,132371,36224,14635,16750,65022,83064,38378,24776,94131,12804,45994,27556,11920,29406,9313,104995,70544,12419,137205,52265,65889,117752,15797,34742,7178,92712,144331,30180,18893,56559,74327,76131,48741,13349,2787875
"2012|07",51816,5306,81252,36836,207560,60342,26149,6475,62,134279,73747,2189,18285,89225,81561,59420,60454,136320,36409,15305,17176,66913,84562,38550,25448,96280,13106,46023,28978,12068,30084,9585,106442,71576,12708,140403,53296,67916,119420,15523,35012,7435,94153,148216,30375,18644,58708,76631,78805,49023,14025,2850076
"2012|08",51836,5609,83735,37512,208355,61210,25862,6470,62,134863,75664,1978,18066,89226,82102,59146,60879,137607,36110,15635,17464,67348,84864,37588,25854,96932,13215,44889,29685,12239,30643,9427,106697,71407,12315,140505,53306,68116,118592,15636,34633,7236,93165,148566,30277,18246,58678,77412,78641,48364,14086,2857953
"2012|09",51365,5657,84298,39125,209357,60655,24844,6362,60,133640,76166,2128,17561,85990,82476,58802,61409,137009,35209,15306,17038,67184,83785,37104,26037,97590,12724,44294,29596,12102,30223,9433,103320,73143,12025,139037,54161,67178,116537,15385,34540,7137,93158,147422,29771,17538,56789,76923,78021,47596,14476,2838686
"2012|10",53740,6062,86961,41362,218272,63526,25323,6491,62,139402,79676,2362,18166,88790,87006,61177,64270,142532,35942,15834,17613,69684,87661,40177,26799,103201,13451,46081,31091,12613,30536,10024,106750,76342,12696,145342,56454,69315,120501,15909,36942,7502,97979,153671,31031,18169,58484,80309,81959,50344,15222,2960808
"2012|11",50710,5989,81910,38441,205844,59662,23835,6373,60,131272,76963,2193,17368,85504,82321,57107,60595,135676,33472,15146,17014,65368,83875,38426,24866,99113,12892,42743,28912,12241,29502,9280,102936,72819,12503,138996,53501,65722,113826,14943,34721,7174,93825,144092,29066,17025,55689,76438,78595,48106,14171,2808821
"2012|12",51076,6120,82223,39173,207842,59622,24057,6540,62,129938,77656,2157,17934,88105,83843,57883,61866,137626,33005,15551,17713,65619,84734,38692,24555,100439,13297,41924,28641,12407,30805,8909,105113,74481,12908,142760,54415,67198,114182,15434,34338,7283,95634,145524,29175,17336,56951,77351,79719,49267,14306,2843389
"2013|01",49848,5810,80911,39177,205749,58089,23865,6378,62,127799,76967,2218,18369,86790,83188,57097,60955,137404,32064,15862,17827,64982,82359,38677,23961,99194,13364,40381,28315,12200,31374,8483,103611,73701,12928,143146,54181,67070,112581,16039,33979,7078,95219,144109,28632,17262,56337,77433,77802,48928,14096,2813851
"2013|02",45318,5347,74338,36138,186832,52822,21977,5740,37,117311,70547,2109,17150,78932,77246,52645,56462,124824,29300,14428,16212,58868,74898,35281,22250,92684,12333,36920,26591,11163,29235,7816,93707,67718,12058,131764,50560,61104,103039,14979,32058,6634,89502,132773,26101,15899,50852,71861,70916,44644,13114,2583037
"2013|03",51449,6101,85273,42410,211787,60344,24216,6508,31,132709,80551,2556,19704,87908,88763,60266,64820,140648,33641,16402,18130,66791,86138,40539,25403,107287,14495,42078,30775,12750,33819,8928,104731,78929,13677,149623,58791,68969,117177,17086,37235,7648,106262,150949,29544,17921,57271,82485,80902,50827,14797,2948044
