"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2014|07",52617,17356,147552,28617,741345,64130,45511,9728,15001,168680,115151,13908,6792,151414,77395,32520,39323,53054,34899,9794,48801,92963,117017,58524,37220,51733,17131,28654,37791,4290,104105,33304,294341,96988,15644,128629,100108,43359,173357,17200,42422,17175,62609,331555,17330,1323,59796,77055,12842,68360,4037,4020450
"2014|08",53057,17868,149088,29564,748689,65136,45414,9881,15157,172814,118182,14158,6902,151753,79347,32840,38826,53302,34665,9736,48972,93168,118302,59134,37574,52861,17166,28070,38694,4227,104080,33774,292736,99172,16022,130321,100162,42911,174784,17659,42919,16917,63563,337770,17216,1444,60417,78603,12765,68705,4088,4060575
"2014|09",51759,18423,149454,30107,744645,65589,44417,10012,14597,174192,119030,14790,6683,148503,80275,33338,38221,53238,35443,9821,47416,94615,115706,59618,37383,53788,16961,27664,38966,4187,101101,34282,282980,101399,15834,128860,100113,41553,171699,17342,43358,16730,63764,338165,17191,1515,60423,78399,12719,68957,3901,4039126
"2014|10",52980,19610,156477,30892,776167,69109,45862,10387,14918,183911,124805,15622,6648,153590,84731,34966,39991,55935,37198,10202,48161,98948,109407,63942,38399,57346,17335,28504,40959,4536,103334,35803,290513,106654,16721,133918,104384,42754,178400,18350,45845,17891,67474,350821,18219,1567,63036,81893,13660,71686,4022,4198483
"2014|11",49796,18341,146592,29140,738895,65220,44221,9837,14284,175068,120538,14913,6200,147525,82513,32129,37490,53412,34872,9671,46627,92862,100376,60094,36589,54705,16524,26761,38541,4500,97041,33742,274683,102250,15854,127599,99197,40738,171091,17597,43316,16882,65928,327076,17320,1521,60765,77752,13255,67668,3856,3983367
"2014|12",50163,18413,148619,29746,756424,65364,45369,10190,14436,178218,123005,15004,6476,152277,85409,31991,38370,54430,34307,9995,47722,93901,100837,60261,36788,55498,16508,26536,39097,4868,96966,34321,278045,104303,16038,130412,100747,41049,175716,17858,43664,17039,69871,328443,17520,1586,62571,77878,13463,68406,4003,4050121
"2015|01",49537,17714,149456,29910,751711,64036,45016,10373,13786,179234,123057,14928,6543,152251,86558,31875,38360,54221,33320,10017,47424,95717,99610,59912,36768,55482,16938,26658,38245,4995,96377,35038,275413,104381,16037,130827,99987,40715,176436,17902,44044,16897,71054,324716,17374,1669,62238,77686,13326,67380,4019,4037168
"2015|02",44896,16696,137904,28057,686066,58085,40708,9480,12346,166877,114135,14493,5797,137970,80296,29362,35293,49428,30022,9243,42709,88475,90138,56794,33894,50909,15825,25086,34496,4806,89141,32204,246694,97417,15001,121504,91716,37313,161901,16596,40701,15729,67351,296636,15889,1571,56509,71348,12634,61348,3647,3703136
"2015|03",51073,19750,158331,32400,781873,66081,45572,11148,14034,193263,130838,16680,6666,154493,91122,33867,40082,55908,34107,10444,47686,102790,100771,66243,38283,58726,18228,28885,39620,5549,101486,36533,271621,114473,16871,138627,104149,42105,183551,18671,46440,17823,78397,337483,18379,1923,63532,80228,14552,70230,4194,4215781
"2015|04",49342,20092,155806,32900,762459,64069,44004,11311,13763,190607,129686,16314,6390,149737,89212,33143,39754,54583,33056,10274,45141,101298,96399,65486,38300,58221,17889,28230,39113,5178,98275,35680,259926,114176,16213,135442,101636,40625,178780,18535,45748,16913,78989,327013,17553,1997,61829,78542,14369,68131,4152,4116281
