"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","National"
"2018|08",1091332,182331,1637751,702318,8962415,1263591,734693,203668,126839,4223114,2506378,302428,445180,2850239,1570307,728967,704748,1006639,1095476,250062,1338760,1363413,2159823,1302625,705617,1375761,228668,476236,688896,257467,1949435,481008,4065325,2301595,178315,2591496,954141,868733,2648676,205869,1107433,216553,1508508,7377860,929937,115201,1865154,1658748,363812,1273960,134410,73281911
"2018|09",1090978,182080,1637878,702058,8956111,1263418,734012,203636,126971,4223759,2506074,302208,445438,2847002,1570080,728727,704247,1006237,1094618,249907,1338292,1362435,2158220,1302746,704892,1375125,228620,476237,689313,257245,1948221,480449,4061648,2301422,178498,2590081,953862,868528,2647315,205780,1107714,216659,1508622,7379381,930118,115071,1864559,1659188,363378,1273223,134328,73256609
"2018|10",1090643,181838,1638021,701811,8950063,1263203,733347,203607,127098,4224318,2505806,301992,445702,2843918,1569854,728499,703776,1005841,1093806,249765,1337842,1361468,2156683,1302854,704191,1374517,228581,476236,689695,257031,1947054,479914,4058106,2301248,178678,2588715,953605,868345,2645985,205685,1107999,216769,1508735,7380997,930292,114946,1863990,1659618,362957,1272516,134253,73232413
"2018|11",1090305,181591,1638189,701564,8943830,1262933,732655,203579,127228,4224854,2505552,301765,445988,2840772,1569617,728270,703301,1005432,1092985,249627,1337384,1360450,2155111,1302954,703470,1373904,228547,476235,690072,256810,1945866,479368,4054464,2301070,178866,2587314,953355,868166,2644602,205578,1108309,216882,1508857,7382807,930465,114820,1863422,1660064,362523,1271791,134180,73207743
"2018|12",1089989,181356,1638374,701334,8937776,1262627,731979,203555,127354,4225356,2505322,301540,446273,2837756,1569387,728055,702855,1005039,1092211,249501,1336953,1359452,2153602,1303039,702779,1373333,228523,476230,690422,256598,1944743,478850,4050958,2300907,179047,2585975,953129,867998,2643261,205465,1108626,216986,1508981,7384689,930624,114701,1862901,1660494,362106,1271095,134113,73184219
"2019|01",1089676,181118,1638589,701108,8931458,1262264,731277,203535,127484,4225882,2505096,301301,446575,2834660,1569149,727839,702408,1004642,1091432,249378,1336525,1358411,2152057,1303111,702074,1372773,228506,476222,690773,256380,1943617,478327,4047353,2300760,179234,2584616,952917,867821,2641875,205339,1108971,217081,1509117,7386760,930774,114580,1862402,1660933,361681,1270380,134048,73160289
"2019|02",1089378,180887,1638831,700894,8925037,1261855,730570,203521,127612,4226441,2504878,301055,446882,2831573,1568914,727633,701975,1004260,1090675,249263,1336117,1357363,2150525,1303166,701382,1372250,228499,476210,691117,256164,1942538,477820,4043769,2300642,179418,2583288,952728,867637,2640495,205204,1109334,217156,1509262,7388952,930907,114464,1861953,1661363,361263,1269669,133986,73136775
"2019|03",1089124,180685,1639073,700714,8919116,1261445,729929,203516,127728,4226995,2504683,300826,447159,2828784,1568706,727454,701596,1003930,1090010,249166,1335770,1356416,2149152,1303199,700771,1371816,228500,476193,691425,255971,1941610,477377,4040550,2300569,179581,2582123,952579,867457,2639256,205074,1109680,217203,1509403,7391030,931009,114362,1861600,1661741,360893,1269031,133931,73115911
"2019|04",1088861,180470,1639368,700530,8912388,1260948,729217,203518,127856,4227688,2504465,300564,447465,2825685,1568483,727264,701191,1003587,1089297,249064,1335414,1355368,2147641,1303216,700113,1371384,228512,476169,691766,255760,1940643,476906,4037005,2300534,179758,2580875,952441,867238,2637898,204920,1110083,217224,1509571,7393432,931097,114253,1861277,1662146,360494,1268329,133873,73093249
"2019|05",1088627,180271,1639683,700369,8905669,1260424,728526,203530,127978,4228461,2504247,300301,447757,2822667,1568276,727091,700813,1003283,1088629,248973,1335102,1354360,2146190,1303212,699498,1371023,228533,476139,692100,255559,1939777,476471,4033597,2300555,179924,2579718,952337,867000,2636601,204762,1110494,217210,1509746,7395850,931156,114153,1861041,1662519,360122,1267652,133818,73071794
